image_id,generated_text
000000000785,"The image shows a person skiing down a snowy slope. They are wearing a red jacket, black pants, and blue ski boots. The skier is holding ski poles and appears to be in motion, gliding down the slope."
000000000872,"The image shows two baseball players on a field, one in a white uniform and the other in a green uniform. The player in the white uniform is running towards the base, while the player in the green uniform is holding a baseball glove and appears to be trying to catch a ball. The background features green trees and a dirt path."
000000001296,The image shows a woman holding a Hello Kitty-themed phone case while looking at her phone. She is wearing a white sleeveless top with ruffled shoulders and a green bracelet. The background appears to be a crowd of people.
000000002149,"The image shows a bowl filled with green apples. The apples are arranged in a pile, and the bowl is white."
000000007784,The image shows a parasail flying in the clear blue sky. The parasail has a red and white design with black accents and is attached to a string.
000000010363,"The image shows a cat standing on the hood of a car in a garage. The cat has a striped coat and is wearing a collar. The garage has various items, including a bicycle, a box, and some tools."
000000010764,"The image shows a baseball catcher in a crouched position on the field, ready to catch a pitch. He is wearing a black and white uniform, a helmet, and a catcher's mitt. The background features a well-maintained grassy field."
000000011051,"The image shows a young man and woman dressed in formal attire, likely preparing for a prom or a similar event. The woman is adjusting the man's tie, and they both appear to be smiling and enjoying the moment."
000000011699,"The image shows two people standing on a train platform, with one person wearing a red shirt and the other wearing a blue shirt. They are both carrying luggage and appear to be waiting for a train."
000000029397,"The image shows a wooden bench with a blue sign on it. The sign has text that reads, ""WE NEED YOU. You're Gonna Be Stagnant."" The bench is placed on a brick-paved surface, and there are two legs of a person wearing orange pants and blue shoes standing on the bench. The background features a concrete wall with some graffiti."
000000032081,"The image shows a female tennis player in action on a grass court, wearing a white outfit and holding a tennis racket. She is in the middle of a serve, with her racket raised above her head."
000000040036,"A person is riding a brown horse over a wooden obstacle, wearing a helmet and a saddle blanket labeled ""Lisbon."" The horse is jumping over a fence, showcasing its agility and skill."
000000047121,"A black and white cat is drinking water from a sink faucet, which is turned on. The cat is positioned near a soap dish and a bottle of lotion."
000000047585,"The image shows a bride and groom standing in front of a house, holding an umbrella. The bride is wearing a white wedding dress and holding a bouquet of flowers. The groom is wearing a black suit and tie. There are other people in the background, and the scene appears to be set in a garden or outdoor area."
000000052017,"The image shows a small, yellow airplane with red accents and the registration number ""SP-AWF"" on its side. The airplane is in flight against a cloudy sky."
000000052891,"A dog with a mix of white and gray fur is standing on a sandy beach, holding a yellow frisbee in its mouth. The ocean is visible in the background, and there are a few people in the distance."
000000061747,"The image shows a woman skiing on a snowy slope. She is wearing a purple jacket, plaid pants, and a helmet. She is holding ski poles and smiling at the camera. The background features a forested area and a mountainous landscape."
000000072813,"The image shows a brown dog lying on a bed with a white sheet. The dog has a red collar and is looking directly at the camera. The bed has a red pillow and a multicolored blanket draped over it. In the background, there is a television and some other items on a table."
000000078823,"The image shows a dog wearing a red bandana sitting on the back of a brown Alfa Romeo car in a parking lot. The car has a license plate with the number ""LMKH161"". The background features a building with a corrugated metal exterior and a tree."
000000297353,"The image shows a man playing an electric guitar on top of a bed in a bedroom. The room has a warm, cozy atmosphere with a lamp on a nightstand, a framed picture on the wall, and a bed with a purple bedspread."
000000297595,"A person is surfing on a wave in the ocean, with the wave breaking to the left of them. The sky is clear and blue."
000000301867,"The image shows three women standing on a stone staircase, with one holding an umbrella and the other two carrying handbags. They appear to be laughing and enjoying each other's company."
000000302990,"The image shows a surfer riding a wave on a surfboard, with another surfer in the background. The surfer is wearing a black wetsuit and appears to be in motion, with water splashing around them."
000000303499,"The image shows two individuals dressed in red robes, riding horses in front of a grand building with a flagpole."
000000304560,"The image features a black cat sitting on a grassy patch, with its head turned slightly to the side. The cat appears to be in a relaxed state, with its eyes wide open and a calm expression. The background is a mix of green and brown grass, indicating a natural outdoor setting."
000000308165,"A skateboarder is performing a trick in mid-air over a sand pit, with a clear blue sky and palm trees in the background."
