image,layer,target_step_start,target_step_end,token,word_id,word,word_n_subtokens,firstword_step_start,firstword_step_end,firstword,query_object,query_word,query_pair,query_mask,target_type,target,match_type,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
000000000785,28,5,5,skiing,5,skiing,1,4,4,person,person,skiing,skiing+person,2,query_action,person,regular,0.1413629949364987,0.18381626885491506,0.14497914128658446,0.13023093151091963,0.7333333333333333,0.2370335691057939
000000000785,28,5,5,skiing,5,skiing,1,4,4,person,person,on + skis,on + skis+person,3,query_relation,person,fallback,0.17719772118753022,0.22416883008123273,0.17837726935076512,0.09229499331451493,0.7333333333333333,0.2854268284257506
000000000785,28,15,15,red,15,red,1,4,4,person,person,red,red+person,1,query_attribute,person,regular,0.21286013701629805,0.20997003042712362,0.1999320539547988,0.10206230147832097,0.8057971014492754,0.33676113013283293
000000000872,28,27,27,white,27,white,1,24,24,player,player,white,white+player,1,query_attribute,player,regular,0.4948152991173586,0.4735429102798692,0.41660193255898725,0.0409575920298996,0.8260869565217391,0.6189109947283427
000000000872,28,37,37,player,37,player,1,24,24,player,player,playing,playing+player,2,query_action,player,fuzzy,0.04849059007101232,0.03269765213224724,0.13493903226846604,0.08739865582019622,0.8537549407114624,0.09176899067649023
000000000872,28,37,37,player,37,player,1,24,24,player,player,behind + player,behind + player+player,3,query_relation,player,fallback,0.04849059007101232,0.03269765213224724,0.13493903226846604,0.08739865582019622,0.8537549407114624,0.09176899067649023
000000001296,28,5,5,holding,5,holding,1,4,4,woman,woman,holding,holding+woman,2,query_action,woman,regular,0.1965685798783322,0.12236644336206852,0.8628524714584251,0.005627926515708751,0.8260869565217391,0.31757074424318443
000000001296,28,22,22,white,21,white,1,22,22,white,cell phone,white,white+cell phone,1,query_attribute,cell phone,fallback,0.07310524549385032,0.008945734141653113,0.05021371012927913,0.2905798226797901,0.8231884057971014,0.13428498663760624
000000002149,28,8,8,apples,8,apples,1,7,7,green,apple,green,green+apple,1,query_attribute,apple,fuzzy_reversed,0.32189812503937465,0.17364910402790992,0.7970150508052325,0.011265697954540299,0.7043478260869566,0.4418594672049342
000000002149,28,20,20,bowl,20,bowl,1,8,8,apples,apple,inside + bowl,inside + bowl+apple,3,query_relation,apple,fallback,0.08241577608399885,0.048505312122247665,0.7192802305814184,0.011989785540195856,0.9188405797101449,0.15126387769937374
000000007784,28,6,6,flying,5,flying,1,6,6,flying,kite,flying,flying+kite,2,query_action,kite,fallback,0.07949654362853789,0.062037691604738175,0.11752820400590515,0.08774284850494891,0.6709401709401709,0.1421503600125377
000000007784,28,20,20,white,18,white,1,20,20,white,kite,white,white+kite,1,query_attribute,kite,fallback,0.25832575987074624,0.17545371168116505,0.2199068192818476,0.10107704762336481,0.7692307692307693,0.3867663089080829
000000010363,28,5,5,standing,5,standing,1,4,4,cat,cat,standing,standing+cat,2,query_action,cat,regular,0.10097130523108176,0.06589274523262408,0.10432330770437027,0.15967257356495557,0.7525083612040134,0.178051696873905
