image_id,generated_text
000000000285,"The image shows a large bear with a light brown coat and dark brown patches, sitting on grass. The bear has a calm and relaxed expression, with its mouth slightly open."
000000000872,"The image shows two baseball players on a field, one in a white uniform and the other in a green uniform. The player in the white uniform is running towards the base, while the player in the green uniform is holding a baseball glove and appears to be trying to catch a ball. The background features green trees and a dirt path."
000000001296,The image shows a woman holding a Hello Kitty-themed phone case while looking at her phone. She is wearing a white sleeveless top with ruffled shoulders and a green bracelet. The background appears to be a crowd of people.
000000010363,"The image shows a cat standing on the hood of a car in a garage. The cat has a striped coat and is wearing a collar. The garage has various items, including a bicycle, a box, and some tools."
000000011699,"The image shows two people standing on a train platform, with one person wearing a red shirt and the other wearing a blue shirt. They are both carrying luggage and appear to be waiting for a train."
000000029397,"The image shows a wooden bench with a blue sign on it. The sign has text that reads, ""WE NEED YOU. You're Gonna Be Stagnant."" The bench is placed on a brick-paved surface, and there are two legs of a person wearing orange pants and blue shoes standing on the bench. The background features a concrete wall with some graffiti."
000000032081,"The image shows a female tennis player in action on a grass court, wearing a white outfit and holding a tennis racket. She is in the middle of a serve, with her racket raised above her head."
000000040036,"A person is riding a brown horse over a wooden obstacle, wearing a helmet and a saddle blanket labeled ""Lisbon."" The horse is jumping over a fence, showcasing its agility and skill."
000000297353,"The image shows a man playing an electric guitar on top of a bed in a bedroom. The room has a warm, cozy atmosphere with a lamp on a nightstand, a framed picture on the wall, and a bed with a purple bedspread."
000000297595,"A person is surfing on a wave in the ocean, with the wave breaking to the left of them. The sky is clear and blue."
